action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,32111,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '14.63', 'le': '0.26', 'lle': '1.64', 'sei': '15.53'}",CHEMBL303519,,CHEMBL303519,5.01,0,http://www.openphacts.org/units/Nanomolar,108659,=,1,1,=,,IC50,nM,,9800.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,9800.0
,,33282,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '20.25', 'le': '0.37', 'lle': '3.83', 'sei': '17.60'}",CHEMBL292943,,CHEMBL292943,7.30,0,http://www.openphacts.org/units/Nanomolar,108665,=,1,1,=,,IC50,nM,,50.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,50.0
,,38258,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1ccc(-c2cncc(CN3CCN(c4ccccc4F)CC3)c2)cc1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '20.80', 'le': '0.38', 'lle': '3.25', 'sei': '39.25'}",CHEMBL61682,,CHEMBL61682,7.60,0,http://www.openphacts.org/units/Nanomolar,108652,=,1,1,=,,IC50,nM,,25.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,25.0
,,39387,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '17.88', 'le': '0.33', 'lle': '2.97', 'sei': '15.53'}",CHEMBL64487,,CHEMBL64487,6.44,0,http://www.openphacts.org/units/Nanomolar,108663,=,1,1,=,,IC50,nM,,360.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,360.0
,,39391,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,c1cnc(N2CCN(Cc3cccc(-c4ccsc4)c3)CC2)nc1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '19.39', 'le': '0.37', 'lle': '2.99', 'sei': '20.22'}",CHEMBL64597,,CHEMBL64597,6.52,0,http://www.openphacts.org/units/Nanomolar,108662,=,1,1,=,,IC50,nM,,300.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,300.0
,,40505,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1ccc(-c2cncc(CN3CCN(c4ccc(F)cc4)CC3)c2)cc1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '19.58', 'le': '0.36', 'lle': '2.80', 'sei': '36.94'}",CHEMBL291824,,CHEMBL291824,7.16,0,http://www.openphacts.org/units/Nanomolar,108653,=,1,1,=,,IC50,nM,,70.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,70.0
,,47823,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '20.98', 'le': '0.38', 'lle': '3.71', 'sei': '22.66'}",CHEMBL59942,,CHEMBL59942,7.31,0,http://www.openphacts.org/units/Nanomolar,108671,=,1,1,=,,IC50,nM,,49.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,49.0
,,50520,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1ccc(-c2cncc(CN3CCN(c4ccccn4)CC3)c2)cc1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '20.73', 'le': '0.38', 'lle': '3.62', 'sei': '22.39'}",CHEMBL61657,,CHEMBL61657,7.22,0,http://www.openphacts.org/units/Nanomolar,108654,=,1,1,=,,IC50,nM,,60.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,60.0
,,55514,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1ccc(-c2cncc(CN3CCN(c4ncccn4)CC3)c2)cc1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '19.81', 'le': '0.36', 'lle': '3.92', 'sei': '15.33'}",CHEMBL302183,,CHEMBL302183,6.92,0,http://www.openphacts.org/units/Nanomolar,108651,=,1,1,=,,IC50,nM,,120.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,120.0
,,57998,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,c1cnc(N2CCN(Cc3cccc4c3-c3ccccc3C4)CC2)nc1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '16.46', 'le': '0.30', 'lle': '2.27', 'sei': '17.48'}",CHEMBL304692,,CHEMBL304692,5.64,0,http://www.openphacts.org/units/Nanomolar,108670,=,1,1,=,,IC50,nM,,2300.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,2300.0
,,59201,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,Cl.Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '19.72', 'le': '0.38', 'lle': '2.90', 'sei': '18.33'}",CHEMBL555670,,CHEMBL267014,6.44,0,http://www.openphacts.org/units/Nanomolar,108668,=,1,1,=,,IC50,nM,,360.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,360.0
,,63216,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '18.95', 'le': '0.35', 'lle': '3.00', 'sei': '20.47'}",CHEMBL291380,,CHEMBL291380,6.60,0,http://www.openphacts.org/units/Nanomolar,108666,=,1,1,=,,IC50,nM,,250.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,250.0
